"CUSTOMERID","FIRSTNAME","LASTNAME","ADDRESS","CITY","STATE","ZIPCODE","COUNTRY","PHONE","EMAIL","USERNAME","PASSWORD","CREDITCARDTYPE","CREDITCARDNUMBER","CARDHOLDERNAME","SECURITYCODE","EXPIRATIONDATE","BILLINGADDRESS","BILLINGCITY","BILLINGSTATE","BILLINGZIPCODE","BILLINGCOUNTRY","BILLINGMATCHSHIPPING"
1,"Gordon                                            ","Samuel                                            ","1234 Drexel Hill                                                                                    ","Philadelphia                                      ","PA                                                ",19136,"USA                                               ",234567890,"gs546@drexel.edu                                                                                    ","gs99                                              ","quietbee                                          ","Discover                                          ",6011111111111117,"Gordon Samuel                                     ",123,04-NOV-23,"1234 Drexel Hill                                                                                    ","Philadelphia                                      ","PA                                                ",19136,"USA                                               ","YES"
2,"Ebaad                                             ","Rahman                                            ","5678 Winter Street                                                                                  ","Philadelphia                                      ","PA                                                ",98765,"USA                                               ",2670001111,"eu37@drexel.edu                                                                                     ","eu00                                              ","loudness                                          ","MasterCard                                        ",5123455806308521,"Ebaad Rahman                                      ",456,15-APR-24,"5678 Winter Street                                                                                  ","Philadelphia                                      ","PA                                                ",98765,"USA                                               ","YES"
3,"Giang                                             ","Do                                                ","7211 Summer Drive                                                                                   ","Houston                                           ","TX                                                ",12345,"USA                                               ",6101112222,"gtd32@drexel.edu                                                                                    ","gtd007                                            ","thrilling                                         ","Amex                                              ",3712348069870345,"Giang Do                                          ",789,12-DEC-22,"9020 Race Street                                                                                    ","Philadelphia                                      ","PA                                                ",19444,"USA                                               ","NO "
4,"Crystal                                           ","Issac                                             ","9876 Fall Blvd                                                                                      ","Los Angeles                                       ","CA                                                ",45678,"USA                                               ",5708889999,"ci85@drexel.edu                                                                                     ","ci001                                             ","subtle                                            ","Switch                                            ",4903111111111113,"Arthur Issac                                      ",111,19-MAY-21,"9876 Fall Dlvd                                                                                      ","Los Angeles                                       ","CA                                                ",45678,"USA                                               ","YES"
5,"Max                                               ","Simmons                                           ","5467 Hidden Leaf                                                                                    ","Seattle                                           ","WA                                                ",11111,"USA                                               ",4103336677,"mjs647@drexel.edu                                                                                   ","ms365                                             ","absent                                            ","Visa                                              ",4026111111111115,"Daniel Simmons                                    ",222,25-OCT-25,"3675 Market Street                                                                                  ","Philadelphia                                      ","PA                                                ",19130,"USA                                               ","NO "
15,"Gina                                              ","Nguyen                                            ","1715 S Broad street                                                                                 ","Philadelphia                                      ","PA                                                ",19145,"USA                                               ",1234325678,"gn345@gmail.com                                                                                     ","gn345                                             ","hihi123                                           ","Visa                                              ",4430567890877890,"Gina Nguyen                                       ",189,04-NOV-25,"1715 S Broad street                                                                                 ","Philadelphia                                      ","PA                                                ",19145,"USA                                               ","YES"
16,"Jayanthi                                          ","Rahman                                            ","3476 Apple Hill Street                                                                              ","New Jersey                                        ","NJ                                                ",8012,"USA                                               ",8564673456,"jayjayanthi45678@yahoo.com                                                                          ","jayjay1234                                        ","password1!                                        ","MasterCard                                        ",6789345623456789,"Jayanthi Rahman                                   ",466,15-APR-27,"3476 Apple Hill Street                                                                              ","New Jersey                                        ","NJ                                                ",8012,"USA                                               ","YES"
17,"Jane                                              ","Doe                                               ","211 Spring Drive                                                                                    ","Houston                                           ","TX                                                ",12346,"USA                                               ",6101112245,"jd211@gmail.com                                                                                     ","jd211                                             ","thrilling123                                      ","Discover                                          ",3712567890873457,"Jane Doe                                          ",790,12-DEC-29,"9201 Race Street                                                                                    ","Philadelphia                                      ","PA                                                ",19446,"USA                                               ","NO "
18,"Kristen                                           ","Brown                                             ","7689 Winter Blvd                                                                                    ","Los Angeles                                       ","CA                                                ",46788,"USA                                               ",7895674567,"kb85@yahoo.com                                                                                      ","kb001                                             ","subtle_subway                                     ","Visa                                              ",6789098754673456,"Kristen Brown                                     ",115,19-MAY-28,"7689 Winter Blvd                                                                                    ","Los Angeles                                       ","CA                                                ",46788,"USA                                               ","YES"
19,"Stephen                                           ","Simmons                                           ","567 Hidden Leaf                                                                                     ","Seattle                                           ","WA                                                ",12113,"USA                                               ",4890764567,"ss647@gmail.com                                                                                     ","ss365                                             ","absentasalways789!                                ","Visa                                              ",8907567834562345,"Stephen Simmons                                   ",282,25-OCT-25,"3675 Market Street                                                                                  ","Philadelphia                                      ","PA                                                ",19130,"USA                                               ","NO "
