"SELLERID","SELLER","ADDRESS","CITY","STATE","ZIPCODE","COUNTRY","PHONE","EMAIL","USERNAME","PASSWORD"
1,"Acme                                              ","2030 Grant Blvd                                                                                     ","Philadelphia                                      ","PA                                                ",19139,"USA                                               ",1234567890,"acme@sales.com                                                                                      ","acme                                              ","selleverything                                    "
2,"Giants                                            ","6011 Roosevelt Blvd                                                                                 ","Philadelphia                                      ","PA                                                ",19149,"USA                                               ",9876543210,"giants@bigsales.com                                                                                 ","giants                                            ","sellnothing                                       "
3,"Gamestop                                          ","2201 Cottman Avenue                                                                                 ","Seattle                                           ","WA                                                ",91919,"USA                                               ",6102567894,"gamestoppowered@sales.com                                                                           ","gamestop                                          ","powertotheplayers                                 "
4,"BestBuy                                           ","7601 Penn Aveunue                                                                                   ","Richfield                                         ","MN                                                ",55424,"USA                                               ",8882378289,"bestbuy@sales.com                                                                                   ","bestbuy                                           ","gooddeals                                         "
5,"Amazon                                            ","7th Avuenue                                                                                         ","Seattle                                           ","WA                                                ",98121,"USA                                               ",8882804331,"amazon@sales.com                                                                                    ","amazon                                            ","primedayshipping                                  "
6,"ShopRite                                          ","4044 Justice Ave                                                                                    ","Willmington                                       ","DE                                                ",30933,"USA                                               ",6105156792,"shop@rite.com                                                                                       ","shoprite                                          ","buyable                                           "
7,"Harbour Freight                                   ","0020 Academy Road                                                                                   ","Rutherford                                        ","SC                                                ",29992,"USA                                               ",9189995302,"sales@hf.com                                                                                        ","harbour                                           ","freight                                           "
8,"Lowes                                             ","5060 Garfied Street                                                                                 ","Villanova                                         ","AB                                                ",92992,"USA                                               ",8922022564,"gotlowes@sales.com                                                                                  ","lowes                                             ","wegotem                                           "
9,"HomeDepot                                         ","003 Old Timer Street                                                                                ","Yung Town                                         ","AB                                                ",74744,"USA                                               ",7152992057,"home@sales.com                                                                                      ","home                                              ","depot                                             "
10,"Omoi Zakka Shop                                   ","2001 Kilo Will Street                                                                               ","Old Town                                          ","AL                                                ",75389,"USA                                               ",7157724512,"omoi@sales.com                                                                                      ","omoi                                              ","zakka                                             "
11,"EverythingNice                                    ","327 Walnut Street                                                                                   ","Philadelphia                                      ","PA                                                ",19103,"USA                                               ",2153721822,"everythingnice@gmail.com                                                                            ","everythingnice                                    ","HouseSalad                                        "
12,"CleaningSuppliesPro                               ","2810 Fanny Street                                                                                   ","Boise                                             ","IO                                                ",32807,"USA                                               ",2083728120,"cleaningsuppliespro@gmail.com                                                                       ","cleaningsuppliespro                               ","Cleaner                                           "
13,"Samsung                                           ","237 Fifth Avenue                                                                                    ","New York                                          ","NY                                                ",20873,"USA                                               ",7183022312,"samsung@gmail.com                                                                                   ","samsung                                           ","Electronics12!                                    "
14,"GreatSoftware                                     ","283 Franklin Street                                                                                 ","Austin                                            ","TX                                                ",37280,"USA                                               ",3612710281,"greatsoftware@gmail.com                                                                             ","greatsoftware                                     ","TheBestoftheBest                                  "
15,"PetLove                                           ","801 Truffle Road                                                                                    ","Sewell                                            ","NJ                                                ",80207,"USA                                               ",8233021710,"petlove@gmail.com                                                                                   ","petlove                                           ","FantasticPets                                     "
16,"Apple Inc                                         ","567 S 56th street                                                                                   ","San Diego                                         ","CA                                                ",45678,"USA                                               ",4567894567,"appleinc@sales.com                                                                                  ","appleinc                                          ","appleapple                                        "
17,"Alibaba                                           ","234 St                                                                                              ","Hangzhou                                          ","TB                                                ",45678,"China                                             ",4567341235,"alibaba@sales.com                                                                                   ","alibaba                                           ","aliali                                            "
18,"Moon Choice                                       ","45 Kangnam                                                                                          ","Seoul                                             ","SE                                                ",56789,"Korea                                             ",999444578,"moonchice@sales.com                                                                                 ","moon                                              ","choices                                           "
19,"HP                                                ","3264 chestnut                                                                                       ","San Joe                                           ","CA                                                ",45678,"USA                                               ",345786908,"hp@sales.com                                                                                        ","hp                                                ","hpsale889                                         "
20,"Uniqlo                                            ","1-1 Hagacho                                                                                         ","Haga ku                                           ","TY                                                ",11111,"Japan                                             ",4567890345,"uniqlo@gmail.com                                                                                    ","uniqlo                                            ","uni23456                                          "
21,"Simenes                                           ","356 N 24th street                                                                                   ","San Fransisco                                     ","CA                                                ",45678,"USA                                               ",4567894345,"simenes@sales.com                                                                                   ","Simenes                                           ","openSimSim                                        "
22,"Microsoft                                         ","234 st                                                                                              ","San Fransisco                                     ","CA                                                ",45678,"USA                                               ",456232323,"microsoft@sales.com                                                                                 ","micro                                             ","micro123                                          "
23,"Zara                                              ","455 Kangnam                                                                                         ","Seoul                                             ","SE                                                ",56789,"Korea                                             ",999433434,"zara@sales.com                                                                                      ","Zara                                              ","zara123                                           "
24,"Compaq                                            ","3343 chestnut                                                                                       ","San Joe                                           ","CA                                                ",45678,"USA                                               ",434386908,"compaq@sales.com                                                                                    ","compaq                                            ","compaq123                                         "
25,"top                                               ","123 jinnah                                                                                          ","lahore                                            ","PJ                                                ",11111,"Pakistan                                          ",1223390345,"top@gmail.com                                                                                       ","top                                               ","top23456                                          "
